0,EMP0000001,Joshua Nguyen,IT,Software Engineer,10-08-2011,"Isaacland, Denmark",5,14,Resigned,On-site,1585363
1,EMP0000002,Julie Williams,Marketing,SEO Specialist,02-03-2018,"Anthonyside, Costa Rica",2,7,Active,On-site,847686
2,EMP0000003,Alyssa Martinez,HR,HR Manager,20-03-2023,"Port Christinaport, Saudi Arabia",1,2,Active,On-site,1430084
3,EMP0000004,Nicholas Valdez,IT,Software Engineer,12-10-2023,"Port Shelbychester, Antigua and Barbuda",1,1,Active,On-site,990689
4,EMP0000005,Joel Hendricks,Operations,Logistics Coordinator,09-12-2024,"Lake Kimberly, Palestinian Territory",5,0,Active,On-site,535082
5,EMP0000006,Jason Gardner,Operations,Logistics Coordinator,23-02-2021,"Zimmermanstad, Bulgaria",5,4,Active,On-site,641393
6,EMP0000007,Julie Wright,Finance,Finance Manager,04-04-2016,"Karenfort, South Africa",2,9,Active,On-site,1383891
7,EMP0000008,Scott Wilson,Sales,Account Manager,04-04-2020,"Moniqueview, British Virgin Islands",2,5,Active,Remote,423091
8,EMP0000009,Cathy Thompson,Finance,Financial Analyst,29-05-2018,"South Catherine, Belize",4,7,Resigned,Remote,1138452
9,EMP0000010,Maria Yu MD,IT,Software Engineer,08-10-2015,"Brownport, Yemen",4,9,Active,Remote,1543102
10,EMP0000011,Jordan Haynes,Sales,Sales Executive,27-10-2018,"Lake Katherineland, Gambia",1,6,Active,On-site,617992
11,EMP0000012,Kevin Lowe,Sales,Account Manager,02-07-2024,"East Kent, Qatar",3,1,Resigned,On-site,1111759
12,EMP0000013,Glen Miller,Operations,Operations Executive,03-05-2011,"Coreybury, Libyan Arab Jamahiriya",3,14,Active,On-site,512635
13,EMP0000014,Roberto Nguyen,HR,HR Executive,24-08-2020,"South Sandraview, India",4,4,Active,On-site,572479
14,EMP0000015,Megan Hernandez,Sales,Account Manager,14-01-2016,"New Royberg, Thailand",5,9,Active,Remote,1158764
15,EMP0000016,Julie Marshall,Marketing,SEO Specialist,19-07-2021,"Port Phillip, Poland",5,4,Active,On-site,602022
16,EMP0000017,Robert Martin,Operations,Logistics Coordinator,13-05-2025,"Laurahaven, Afghanistan",3,0,Resigned,On-site,859025
17,EMP0000018,Mark Rodriguez,Sales,Sales Director,17-09-2016,"Maryshire, Botswana",3,8,Active,Remote,508563
18,EMP0000019,Samuel Ferguson,IT,DevOps Engineer,05-04-2025,"Matthewsville, Ghana",2,0,Active,On-site,631273
19,EMP0000020,Donald Hoffman,Marketing,Content Strategist,01-04-2022,"South James, New Zealand",3,3,Resigned,On-site,965154
20,EMP0000021,Mr. Billy Rodgers DDS,Marketing,Marketing Executive,12-10-2017,"West Bryanton, Saint Martin",3,7,Terminated,On-site,796532
21,EMP0000022,Kylie May,IT,DevOps Engineer,07-07-2015,"Houstonland, Qatar",2,10,Active,On-site,723820
22,EMP0000023,James Valdez,R&D,Research Scientist,30-10-2017,"East Scott, Mauritius",5,7,Retired,On-site,789283
23,EMP0000024,Allen Palmer,Finance,Accountant,17-05-2022,"Lake Brittney, Albania",4,3,Resigned,Remote,577616
24,EMP0000025,Amanda Miller,IT,IT Manager,31-07-2021,"Tammyview, Barbados",2,4,Active,Remote,2153098
25,EMP0000026,Craig Kelly,IT,Software Engineer,15-01-2025,"Martinmouth, Switzerland",1,0,Resigned,Remote,1201087
26,EMP0000027,Daniel Hernandez,Sales,Sales Executive,12-09-2019,"Port Jacob, Falkland Islands (Malvinas)",3,5,Active,On-site,742262
27,EMP0000028,James Young,Marketing,Marketing Executive,17-11-2020,"Limouth, Saint Vincent and the Grenadines",2,4,Active,Remote,670863
28,EMP0000029,Steven Castillo,Operations,Supply Chain Manager,04-08-2023,"Troyberg, Guadeloupe",2,2,Active,On-site,969155
29,EMP0000030,Kimberly Russo,Finance,Finance Manager,15-08-2021,"New Hollyhaven, Vietnam",4,4,Active,Remote,1508236
30,EMP0000031,Nathan Smith,IT,Software Engineer,13-02-2019,"Anthonyburgh, Bahamas",4,6,Active,On-site,1076433
31,EMP0000032,Jeffery Chapman,Sales,Account Manager,21-10-2020,"New Tyler, Kazakhstan",4,4,Active,On-site,512557
32,EMP0000033,Cristian Thomas,IT,IT Manager,14-02-2021,"North Markbury, San Marino",3,4,Active,Remote,2408177
33,EMP0000034,Steve Carlson,IT,Software Engineer,25-04-2020,"Grahamfurt, Jamaica",5,5,Terminated,On-site,1039192
